data_as_of,death_year,death_month,jurisdiction_occurrence,drug_involved,time_period,month_ending_date,drug_overdose_deaths,footnote
01/05/2025,2019,1,United States,Cocaine,12 month-ending,01/31/2019,"15,613",
01/05/2025,2019,1,United States,Fentanyl,12 month-ending,01/31/2019,"30,367",
01/05/2025,2019,1,United States,Gabapentin,12 month-ending,01/31/2019,"1,935",
01/05/2025,2019,1,United States,Heroin,12 month-ending,01/31/2019,"15,475",
01/05/2025,2019,1,United States,Methamphetamine,12 month-ending,01/31/2019,"12,059",
01/05/2025,2019,1,United States,Oxycodone,12 month-ending,01/31/2019,"5,029",
01/05/2025,2019,1,United States,Xylazine,12 month-ending,01/31/2019,359,
01/05/2025,2019,2,United States,Cocaine,12 month-ending,02/28/2019,"15,607",
01/05/2025,2019,2,United States,Fentanyl,12 month-ending,02/28/2019,"30,533",
01/05/2025,2019,2,United States,Gabapentin,12 month-ending,02/28/2019,"1,955",
01/05/2025,2019,2,United States,Heroin,12 month-ending,02/28/2019,"15,455",
01/05/2025,2019,2,United States,Methamphetamine,12 month-ending,02/28/2019,"12,219",
01/05/2025,2019,2,United States,Oxycodone,12 month-ending,02/28/2019,"4,976",
01/05/2025,2019,2,United States,Xylazine,12 month-ending,02/28/2019,374,
01/05/2025,2019,3,United States,Cocaine,12 month-ending,03/31/2019,"15,568",
01/05/2025,2019,3,United States,Fentanyl,12 month-ending,03/31/2019,"30,818",
01/05/2025,2019,3,United States,Gabapentin,12 month-ending,03/31/2019,"1,966",
01/05/2025,2019,3,United States,Heroin,12 month-ending,03/31/2019,"15,390",
01/05/2025,2019,3,United States,Methamphetamine,12 month-ending,03/31/2019,"12,476",
01/05/2025,2019,3,United States,Oxycodone,12 month-ending,03/31/2019,"4,894",
01/05/2025,2019,3,United States,Xylazine,12 month-ending,03/31/2019,422,
01/05/2025,2019,4,United States,Cocaine,12 month-ending,04/30/2019,"15,565",
01/05/2025,2019,4,United States,Fentanyl,12 month-ending,04/30/2019,"31,035",
01/05/2025,2019,4,United States,Gabapentin,12 month-ending,04/30/2019,"1,940",
01/05/2025,2019,4,United States,Heroin,12 month-ending,04/30/2019,"15,288",
01/05/2025,2019,4,United States,Methamphetamine,12 month-ending,04/30/2019,"12,708",
01/05/2025,2019,4,United States,Oxycodone,12 month-ending,04/30/2019,"4,852",
01/05/2025,2019,4,United States,Xylazine,12 month-ending,04/30/2019,463,
01/05/2025,2019,5,United States,Cocaine,12 month-ending,05/31/2019,"15,554",
01/05/2025,2019,5,United States,Fentanyl,12 month-ending,05/31/2019,"31,226",
01/05/2025,2019,5,United States,Gabapentin,12 month-ending,05/31/2019,"1,932",
01/05/2025,2019,5,United States,Heroin,12 month-ending,05/31/2019,"15,195",
01/05/2025,2019,5,United States,Methamphetamine,12 month-ending,05/31/2019,"12,969",
01/05/2025,2019,5,United States,Oxycodone,12 month-ending,05/31/2019,"4,794",
01/05/2025,2019,5,United States,Xylazine,12 month-ending,05/31/2019,488,
01/05/2025,2019,6,United States,Cocaine,12 month-ending,06/30/2019,"15,537",
01/05/2025,2019,6,United States,Fentanyl,12 month-ending,06/30/2019,"31,432",
01/05/2025,2019,6,United States,Gabapentin,12 month-ending,06/30/2019,"1,993",
01/05/2025,2019,6,United States,Heroin,12 month-ending,06/30/2019,"15,054",
01/05/2025,2019,6,United States,Methamphetamine,12 month-ending,06/30/2019,"13,201",
01/05/2025,2019,6,United States,Oxycodone,12 month-ending,06/30/2019,"4,749",
01/05/2025,2019,6,United States,Xylazine,12 month-ending,06/30/2019,530,
01/05/2025,2019,7,United States,Cocaine,12 month-ending,07/31/2019,"15,643",
01/05/2025,2019,7,United States,Fentanyl,12 month-ending,07/31/2019,"31,861",
01/05/2025,2019,7,United States,Gabapentin,12 month-ending,07/31/2019,"2,093",
01/05/2025,2019,7,United States,Heroin,12 month-ending,07/31/2019,"14,959",
01/05/2025,2019,7,United States,Methamphetamine,12 month-ending,07/31/2019,"13,487",
01/05/2025,2019,7,United States,Oxycodone,12 month-ending,07/31/2019,"4,711",
