Year,Geo_Lvl,Geo_Cd,Geo_Desc,Plan_Type,Tot_Opioid_Clms,Tot_Clms,Opioid_Prscrbng_Rate,Opioid_Prscrbng_Rate_5Y_Chg,Opioid_Prscrbng_Rate_1Y_Chg,LA_Tot_Opioid_Clms,LA_Opioid_Prscrbng_Rate,LA_Opioid_Prscrbng_Rate_5Y_Chg,LA_Opioid_Prscrbng_Rate_1Y_Chg
2013,National, ,National,All,33471552,506882862,6.6,,,2605496,7.78,,
2013,National, ,National,FFS,15528221,240661427,6.45,,,1363671,8.78,,
2013,National, ,National,MC,17943331,266221435,6.74,,,1241825,6.92,,
2014,National, ,National,All,37014898,571877738,6.47,,-0.13,2767969,7.48,,-0.3
2014,National, ,National,FFS,15303765,239577769,6.39,,-0.06,1279499,8.36,,-0.42
2014,National, ,National,MC,21711133,332299969,6.53,,-0.21,1488470,6.86,,-0.06
2015,National, ,National,All,37964067,641988059,5.91,,-0.56,2885869,7.6,,0.12
2015,National, ,National,FFS,13003494,222827876,5.84,,-0.55,1129559,8.69,,0.33
2015,National, ,National,MC,24960573,419160183,5.95,,-0.58,1756310,7.04,,0.18
2016,National, ,National,All,36902273,685821751,5.38,,-0.53,2783521,7.54,,-0.06
2016,National, ,National,FFS,10991785,207684096,5.29,,-0.55,1005887,9.15,,0.46
2016,National, ,National,MC,25910488,478137655,5.42,,-0.53,1777634,6.86,,-0.18
2017,National, ,National,All,32240821,704296772,4.58,,-0.8,2412650,7.48,,-0.06
2017,National, ,National,FFS,9118820,196106805,4.65,,-0.64,851704,9.34,,0.19
2017,National, ,National,MC,23122001,508189967,4.55,,-0.87,1560946,6.75,,-0.11
2018,National, ,National,FFS,7267668,193823712,3.75,-2.7,-0.9,890812,12.26,3.48,2.92
2018,National, ,National,All,25304103,686257308,3.69,-2.91,-0.89,2409250,9.52,1.74,2.04
2018,National, ,National,MC,18036435,492433596,3.66,-3.08,-0.89,1518438,8.42,1.5,1.67
2019,National, ,National,All,22118623,680015021,3.25,-3.22,-0.44,3155737,14.27,6.79,4.75
2019,National, ,National,FFS,5997267,188148689,3.19,-3.2,-0.56,804839,13.42,5.06,1.16
2019,National, ,National,MC,16121356,491866332,3.28,-3.25,-0.38,2350898,14.58,7.72,6.16
2020,National, ,National,All,21189623,654003584,3.24,-2.67,-0.01,4008405,18.92,11.32,4.65
2020,National, ,National,FFS,5299357,179300906,2.96,-2.88,-0.23,711775,13.43,4.74,0.01
2020,National, ,National,MC,15890266,474702678,3.35,-2.6,0.07,3296630,20.75,13.71,6.17
2021,National, ,National,All,21723543,686729826,3.16,-2.22,-0.08,4704983,21.66,14.12,2.74
2021,National, ,National,FFS,5079328,180401785,2.82,-2.47,-0.14,736357,14.5,5.35,1.07
2021,National, ,National,MC,16644215,506328041,3.29,-2.13,-0.06,3968626,23.84,16.98,3.09
2022,National, ,National,All,20367934,690552876,2.95,-1.63,-0.21,4919817,24.15,16.67,2.49
2022,National, ,National,FFS,6746019,234814567,2.87,-1.78,0.05,1294680,19.19,9.85,4.69
2022,National, ,National,MC,13621915,455738309,2.99,-1.56,-0.3,3625137,26.61,19.86,2.77
2013,State,56,Wyoming,All,41202,529696,7.78,,,4230,10.27,,
2013,State,38,North Dakota,All,39906,588978,6.78,,,3472,8.7,,
2013,State,46,South Dakota,All,50847,694748,7.32,,,4180,8.22,,
2013,State,02,Alaska,All,73147,954919,7.66,,,8870,12.13,,
2013,State,30,Montana,All,87773,1041207,8.43,,,10713,12.21,,
2013,State,20,Kansas,All,79649,1090611,7.3,,,6747,8.47,,
2013,State,50,Vermont,All,118134,1335242,8.85,,,16549,14.01,,
2013,State,33,New Hampshire,All,96078,1444215,6.65,,,12906,13.43,,
2013,State,44,Rhode Island,All,108851,2058356,5.29,,,8387,7.71,,
2013,State,15,Hawaii,All,166393,2085367,7.98,,,17698,10.64,,
2013,State,16,Idaho,All,175132,2115050,8.28,,,16043,9.16,,
2013,State,11,District of Columbia,All,112974,2120973,5.33,,,5764,5.1,,
2013,State,10,Delaware,All,185965,2262569,8.22,,,31501,16.94,,
2013,State,31,Nebraska,All,147751,2302434,6.42,,,13755,9.31,,
2013,State,49,Utah,All,233588,2937252,7.95,,,20885,8.94,,
2013,State,32,Nevada,All,279872,2988442,9.37,,,30238,10.8,,
2013,State,23,Maine,All,211940,3081312,6.88,,,21025,9.92,,
2013,State,35,New Mexico,All,283376,3684909,7.69,,,20895,7.37,,
2013,State,19,Iowa,All,248968,4126178,6.03,,,16960,6.81,,
2013,State,05,Arkansas,All,294605,4452007,6.62,,,12922,4.39,,
2013,State,08,Colorado,All,519796,4700499,11.06,,,49532,9.53,,
2013,State,21,Kentucky,All,262896,4978458,5.28,,,12198,4.64,,
2013,State,28,Mississippi,All,397168,5285453,7.51,,,13303,3.35,,
2013,State,54,West Virginia,All,401118,5794848,6.92,,,22227,5.54,,
2013,State,41,Oregon,All,573480,5857569,9.79,,,57673,10.06,,
2013,State,40,Oklahoma,All,537393,6076809,8.84,,,33830,6.3,,
2013,State,45,South Carolina,All,475383,6918637,6.87,,,28666,6.03,,
2013,State,53,Washington,All,620072,7032472,8.82,,,69150,11.15,,
2013,State,09,Connecticut,All,532452,7584452,7.02,,,48425,9.09,,
2013,State,01,Alabama,All,510321,8446768,6.04,,,22101,4.33,,
2013,State,27,Minnesota,All,698535,10110092,6.91,,,54606,7.82,,
2013,State,55,Wisconsin,All,899000,10155576,8.85,,,120342,13.39,,
2013,State,24,Maryland,All,762388,10413094,7.32,,,72846,9.56,,
2013,State,51,Virginia,All,730742,10508281,6.95,,,51828,7.09,,
2013,State,22,Louisiana,All,715502,10841388,6.6,,,23057,3.22,,
2013,State,47,Tennessee,All,1021566,11126563,9.18,,,83242,8.15,,
2013,State,18,Indiana,All,971079,11136888,8.72,,,83140,8.56,,
2013,State,29,Missouri,All,783788,11407862,6.87,,,66028,8.42,,
2013,State,34,New Jersey,All,563939,11905806,4.74,,,54453,9.66,,
2013,State,04,Arizona,All,1125751,12415553,9.07,,,122364,10.87,,
2013,State,25,Massachusetts,All,761512,12715214,5.99,,,74258,9.75,,
2013,State,37,North Carolina,All,1217388,15508160,7.85,,,110673,9.09,,
2013,State,13,Georgia,All,1083656,15734473,6.89,,,51827,4.78,,
2013,State,17,Illinois,All,949106,16695076,5.68,,,39487,4.16,,
